,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Cyprus,0.0,100.0,100.0,82.9,71.3,0.7,8.5,4.4,6.1,0.0,9.2,26.5,1.3,2.3,0.2,6.7,6.7,2.7,0.3,33304.05,15.6,99.3
Czech Republic,0.0,100.0,99.1,93.6,69.4,0.7,5.7,0.5,5.5,0.2,23.5,12.6,1.8,3.9,0.1,9.2,8.8,11.1,5.7,32599.94,6.2,41.3
Denmark,0.0,100.0,99.6,105.2,71.2,0.8,8.3,1.9,10.4,1.1,27.6,1.6,2.9,2.9,0.2,6.1,27.4,6.3,14.5,46704.02,6.6,47.4
Dominican Republic,12.3,85.0,83.6,77.9,65.1,0.7,19.7,5.0,-1.3,6.2,21.2,3.4,0.7,0.7,0.0,1.9,13.5,8.5,14.6,15776.95,15.0,35.1
Ecuador,10.9,86.9,84.7,89.4,67.0,0.7,23.0,6.4,-3.7,-2.9,33.5,2.2,1.1,0.9,-0.1,2.4,12.6,0.6,11.2,10698.30,4.6,38.0
Egypt,5.0,99.2,94.7,78.0,62.2,0.6,6.7,9.2,-5.5,0.0,18.5,126.6,1.1,0.8,0.1,1.9,4.1,2.3,2.3,12113.09,13.2,89.4
El Salvador,12.4,93.1,74.2,76.1,64.1,0.7,16.3,1.2,-0.6,-1.9,10.2,8.6,1.2,0.7,0.1,1.0,50.8,0.4,0.5,8558.83,6.2,59.5
Estonia,0.0,99.6,97.2,97.3,69.0,0.7,10.2,-1.2,7.3,-0.4,32.1,13.4,3.5,4.6,-0.1,13.3,14.2,16.2,16.5,29543.27,7.7,9.7
Ethiopia,32.0,55.4,26.8,54.1,56.1,0.6,8.6,10.6,-4.8,-0.4,23.8,4.6,0.9,0.5,0.0,0.1,94.1,0.5,14.5,1869.41,5.2,55.4
Finland,0.0,100.0,97.6,114.8,71.0,0.9,5.8,1.7,11.1,0.3,13.6,6.0,1.9,6.2,0.1,8.3,29.9,9.4,6.3,41690.12,8.6,64.3
France,0.0,100.0,98.7,96.2,72.6,0.8,8.7,2.2,6.8,1.9,30.1,14.1,2.4,3.7,0.1,4.3,8.8,4.1,6.6,41867.92,9.9,98.2
Gabon,5.0,93.2,41.8,75.4,57.2,0.6,14.6,9.4,-3.2,3.9,29.0,0.8,1.6,3.0,0.1,2.1,75.1,0.0,-10.4,19149.89,19.7,49.6
Gambia,5.3,90.2,58.8,55.7,53.8,0.7,20.6,13.8,-3.8,1.5,7.5,1.1,0.8,0.3,0.0,0.2,83.4,0.0,8.3,1655.31,7.0,96.9
Georgia,7.4,99.6,86.9,82.7,66.4,0.7,14.3,-5.1,2.3,0.6,8.0,2.9,0.8,1.0,-0.4,1.7,27.3,0.1,9.4,10014.96,13.4,40.5
Germany,0.0,100.0,99.2,96.5,71.3,0.8,7.1,-0.5,9.5,0.1,36.7,21.4,2.0,3.8,0.1,8.9,11.6,6.3,13.3,47535.63,5.0,68.2
Ghana,5.0,87.6,14.8,69.0,55.3,0.7,17.2,10.0,-0.1,1.1,17.1,1.7,1.5,0.3,-0.1,0.5,48.1,0.1,1.6,4390.97,2.4,74.1
Greece,0.0,100.0,99.0,105.5,71.9,0.7,15.4,-2.5,1.5,2.1,21.5,14.2,1.8,2.1,0.1,6.0,10.6,3.1,-6.7,26609.51,26.3,178.4
Guatemala,15.6,92.7,63.7,68.9,62.2,0.7,31.2,8.6,-3.6,-3.3,63.3,2.6,1.2,0.8,-0.2,1.0,63.0,0.3,2.6,7927.80,2.9,24.2
Guinea,16.4,76.7,20.0,53.1,51.7,0.6,8.7,11.4,-6.6,-1.3,40.7,0.2,1.3,0.3,0.0,0.2,83.4,0.1,-56.3,1244.14,1.8,48.4
Guinea-Bissau,20.7,77.4,20.7,60.0,51.5,0.6,25.8,10.2,-7.5,-3.2,61.4,0.6,1.4,0.3,0.0,0.2,83.4,0.1,-19.7,1559.98,6.9,48.6
Guyana,10.6,97.5,83.6,68.5,59.0,0.7,34.0,1.5,-2.1,-0.4,11.7,0.5,1.8,0.4,-0.4,0.8,30.3,0.0,-9.1,7817.32,11.1,51.9
Haiti,53.4,57.5,27.4,58.4,55.4,0.7,87.7,5.6,-7.0,-0.3,0.3,1.3,0.5,0.4,0.0,0.3,78.0,0.2,16.6,1784.19,6.8,35.2
Honduras,12.2,90.6,82.6,68.9,64.9,0.7,42.3,6.0,-3.9,-9.7,19.8,1.7,1.1,0.7,-0.1,1.1,47.0,0.8,10.4,4986.28,3.9,48.6
Hungary,0.0,100.0,98.0,91.6,67.4,0.7,8.0,-1.3,3.2,0.6,13.5,4.9,1.0,2.3,0.1,4.1,8.5,2.7,10.9,27145.75,7.8,74.8
Iceland,0.0,100.0,98.8,99.6,72.7,0.9,6.0,3.7,8.9,0.1,18.3,1.8,38.2,17.9,-0.1,6.3,89.1,0.5,1.4,48042.39,5.0,56.1
India,15.2,94.1,39.5,69.0,59.6,0.7,8.5,5.1,-1.7,0.9,8.3,33.9,0.5,0.6,-0.1,1.6,25.3,0.4,19.0,6598.97,3.6,66.5
Indonesia,7.6,86.8,60.6,77.1,62.1,0.7,8.4,5.2,-1.3,-3.4,13.2,5.6,0.9,0.9,0.0,1.7,34.4,0.2,26.3,11633.41,6.2,27.6
Iran,5.0,96.2,89.9,87.5,66.5,0.6,10.2,5.2,-6.0,0.0,9.1,67.9,1.1,3.0,-0.1,7.1,0.7,0.0,10.9,17888.29,12.8,17.5
Iraq,22.8,86.6,85.6,63.0,60.0,0.6,6.4,14.3,-8.8,0.0,3.8,73.4,0.5,1.4,-0.2,4.1,0.6,0.0,-2.6,16323.32,16.4,92.5
Ireland,0.0,97.9,90.5,104.8,71.5,0.8,8.4,1.4,9.2,0.8,1.5,1.5,2.3,2.8,0.1,7.3,7.5,1.3,16.1,58372.74,11.6,88.6
Israel,0.0,100.0,100.0,94.1,72.8,0.7,18.5,7.9,4.0,0.5,22.0,79.7,1.6,2.8,0.1,7.9,5.3,1.3,15.3,34335.65,6.1,66.0
Italy,0.0,100.0,99.5,91.1,72.8,0.7,13.7,2.4,2.7,1.6,20.7,28.1,1.8,2.4,0.2,5.3,18.1,10.8,3.5,36191.13,12.5,133.0
Jamaica,8.1,93.8,81.8,79.4,67.0,0.7,17.4,1.0,0.2,-0.3,35.9,7.5,0.8,1.0,0.0,2.6,19.0,0.0,10.9,8990.93,13.2,123.1
Japan,0.0,100.0,100.0,89.7,74.9,0.7,9.2,-0.7,8.3,0.0,25.0,18.9,1.3,3.5,0.1,9.4,4.8,0.3,3.4,38731.33,3.7,249.3
Jordan,5.0,96.9,98.6,76.4,65.0,0.6,8.0,12.3,-0.5,0.0,5.5,92.4,1.0,1.2,-0.1,3.6,2.0,0.2,15.7,12358.47,11.1,90.4
Kazakhstan,5.0,92.9,97.5,91.1,63.3,0.7,5.1,6.0,-2.7,0.0,5.4,18.4,1.0,4.4,0.0,12.9,1.0,0.1,3.0,24176.91,4.1,22.1
Kenya,21.2,63.1,30.1,67.2,55.6,0.7,22.7,11.2,-3.5,0.6,22.7,1.5,0.8,0.5,-0.1,0.3,82.8,0.0,4.0,3338.35,9.2,55.2
"Korea, North",41.6,99.7,81.9,80.5,64.0,0.7,8.9,2.1,-10.0,-9.5,4.2,11.2,0.5,0.5,0.4,1.5,18.6,0.3,32.2,1038.00,4.1,30.0
"Korea, South",5.0,97.6,100.0,97.3,73.2,0.7,7.3,1.7,4.6,-1.0,14.9,41.9,1.5,5.3,-0.1,11.3,1.5,1.0,18.7,37699.19,3.5,37.3
Kuwait,5.0,99.0,100.0,75.2,65.7,0.6,6.0,20.2,-1.0,0.0,21.5,275.0,1.2,9.0,0.1,22.9,0.0,0.3,18.7,70586.57,3.0,18.8
Kyrgyz Republic,6.0,89.2,93.2,79.4,63.9,0.7,5.8,8.0,-4.6,-1.0,30.5,32.6,1.0,0.7,-0.3,1.4,30.2,0.1,-5.8,3466.82,8.1,72.3
Laos,18.5,75.5,70.5,63.0,57.9,0.7,10.2,6.8,-3.9,7.4,19.1,1.5,1.1,0.4,-0.4,0.8,30.3,0.3,-4.1,5650.58,1.4,64.1
Latvia,0.0,99.3,87.4,93.4,67.1,0.8,12.2,-3.9,4.7,0.8,32.2,0.7,4.6,2.2,0.0,3.4,37.2,11.2,0.2,25883.27,10.0,34.8
Lebanon,5.0,99.0,80.7,70.1,65.7,0.6,9.7,27.4,-4.6,0.1,7.9,24.3,1.3,1.6,-0.1,4.9,2.2,0.2,-7.7,18425.82,6.4,142.6
Lesotho,11.2,81.6,30.2,62.8,46.6,0.7,45.4,5.0,-1.2,0.2,21.1,1.4,1.1,0.3,0.0,0.2,83.4,0.0,19.4,3085.41,26.2,61.4
Liberia,31.9,74.7,16.6,63.9,52.7,0.6,11.9,10.4,-4.8,-2.8,11.9,0.6,1.1,0.3,0.0,0.2,83.4,0.0,-27.9,881.80,3.8,45.0
Libya,0.0,91.0,96.6,93.3,63.7,0.6,8.9,-0.2,-10.4,0.0,0.3,822.9,1.4,2.9,0.1,7.7,0.8,0.1,34.1,14348.84,19.2,91.9
Lithuania,0.0,96.6,92.0,94.8,66.1,0.7,11.5,-3.9,5.3,0.8,16.9,2.6,3.7,2.4,-0.1,3.5,18.2,5.7,20.1,29716.65,11.3,42.1
Luxembourg,0.0,100.0,97.6,77.3,71.8,0.7,9.7,9.9,10.2,0.0,40.7,1.2,3.2,6.8,0.2,16.6,5.0,3.4,12.5,100991.14,6.1,21.7
Macedonia,0.0,99.4,90.9,70.4,67.5,0.7,16.4,0.6,0.8,1.1,12.2,8.6,1.2,1.3,0.1,3.6,11.0,0.3,13.5,14631.07,27.9,38.3
Madagascar,33.0,50.6,11.9,66.0,56.9,0.7,12.9,11.8,-4.6,-0.5,12.2,4.9,0.9,0.3,0.0,0.2,83.4,0.1,-3.4,1495.66,3.6,39.2
Malawi,20.7,88.4,40.6,69.1,51.2,0.7,17.3,13.1,-2.4,-2.4,33.0,7.9,0.7,0.3,0.0,0.2,83.4,0.0,1.8,1136.50,7.5,73.0
Malaysia,5.0,98.2,96.0,72.9,66.5,0.7,19.8,6.2,3.1,3.2,23.8,1.9,1.6,3.0,-0.1,7.4,3.4,0.0,12.0,27278.20,2.0,55.8
Mali,5.0,75.0,24.2,51.1,51.1,0.6,7.7,12.5,-5.0,-0.6,9.0,4.3,1.4,0.3,0.0,0.2,83.4,0.0,4.4,2259.55,8.1,35.2
Malta,0.0,100.0,100.0,79.0,71.7,0.7,6.5,3.6,6.5,0.0,42.7,44.4,1.7,1.8,0.1,5.5,2.2,0.3,10.5,37550.53,5.9,62.9
Mauritania,5.6,57.9,39.7,49.8,55.1,0.6,11.3,10.4,-5.0,0.0,0.0,11.8,2.0,0.3,0.0,0.2,83.4,0.1,-17.0,4515.49,31.0,87.2
Mauritius,5.0,99.9,93.2,82.9,66.8,0.6,9.7,0.8,5.1,0.2,8.1,26.4,1.5,1.1,-0.1,3.1,15.5,0.0,2.7,20442.57,7.7,58.3
Mexico,5.0,96.1,85.1,77.8,67.4,0.7,21.0,5.5,-1.4,-0.5,17.7,17.2,1.1,1.6,0.0,3.6,8.5,2.3,7.9,17905.52,4.9,54.9
Moldova,0.0,88.4,76.4,70.7,64.9,0.7,6.0,-0.2,-1.6,1.3,4.3,8.7,0.7,0.9,0.1,2.0,9.4,0.9,13.8,5082.09,3.4,44.0
Mongolia,20.5,64.2,59.1,85.9,62.1,0.7,8.3,7.3,-0.4,0.6,19.7,1.6,4.0,1.8,-0.3,6.2,3.8,0.0,8.2,12133.48,4.8,56.3
Montenegro,0.0,99.6,95.6,88.7,67.9,0.7,9.5,0.4,0.9,12.0,22.4,2.5,1.7,1.5,0.2,3.6,33.1,0.6,10.5,17021.97,19.1,70.5
Morocco,5.0,85.3,76.6,71.6,65.1,0.6,12.5,5.7,-1.6,0.4,57.3,35.7,1.0,0.6,-0.1,1.6,8.8,0.0,14.5,8349.71,10.2,64.3
Mozambique,25.3,50.9,20.4,58.6,49.6,0.7,19.0,11.8,-3.2,-2.4,19.8,0.5,0.7,0.4,0.0,0.1,89.3,0.0,8.5,1235.53,22.6,87.4
Myanmar,14.2,80.5,79.5,52.1,59.1,0.7,22.1,3.4,-7.2,-6.0,6.6,2.8,1.3,0.4,-0.3,0.4,60.7,0.0,32.2,5952.63,3.3,32.0
Namibia,42.3,90.3,34.0,70.3,57.5,0.8,40.8,9.8,1.7,-0.8,46.8,0.8,1.5,0.8,-0.1,1.5,19.9,0.1,16.9,11903.86,18.6,30.9
Nepal,7.8,90.7,44.2,73.7,61.2,0.7,7.5,4.9,-4.0,0.0,25.9,4.5,0.8,0.4,-0.1,0.2,83.2,0.2,32.7,2474.48,2.7,29.9
Netherlands,0.0,100.0,97.7,106.9,72.2,0.8,6.6,1.5,10.2,0.3,29.9,11.8,2.1,4.3,0.1,8.8,4.7,2.5,16.9,50338.89,6.9,66.6
New Zealand,0.0,100.0,100.0,104.9,71.6,0.8,14.0,4.8,11.2,-0.1,46.1,1.6,2.8,4.6,-0.1,7.0,40.0,0.9,13.8,36950.13,5.6,29.9
Nicaragua,16.6,86.9,67.8,69.8,63.8,0.8,21.9,4.7,-3.2,-2.3,61.3,0.9,0.9,0.6,-0.2,0.8,59.1,0.7,11.7,5213.53,5.3,31.6
Niger,9.5,58.1,10.8,36.6,54.2,0.6,7.0,17.4,-4.2,-0.1,43.8,2.9,1.5,0.2,-0.1,0.1,73.8,0.0,5.9,1109.63,5.1,46.9
Nigeria,7.0,67.6,29.3,55.7,47.7,0.6,16.0,11.3,-7.1,-4.0,9.6,4.6,1.0,0.8,0.0,0.3,81.0,0.0,11.0,6142.73,7.5,13.3
Norway,0.0,100.0,98.1,97.9,72.0,0.9,5.8,4.9,10.6,0.0,14.5,0.8,2.8,5.6,0.2,6.9,45.6,4.6,21.0,69031.11,3.4,27.9
Oman,5.0,93.4,96.7,77.5,66.6,0.6,8.9,39.9,1.4,0.0,1.0,84.7,1.7,5.7,0.1,14.1,0.0,0.0,-15.3,44530.51,7.2,35.5
Pakistan,22.0,91.3,61.8,49.1,57.8,0.6,6.1,8.8,-6.2,-0.5,9.9,74.4,0.4,0.5,0.0,0.7,38.8,0.1,14.1,5173.96,5.2,65.0
Panama,9.5,94.4,74.5,76.0,68.1,0.7,35.1,6.7,0.8,-2.0,36.5,0.7,1.4,1.1,-0.1,2.7,19.1,0.7,24.3,22861.41,4.3,38.9
Papua New Guinea,0.0,40.0,18.9,37.0,56.4,0.7,19.1,8.8,-3.1,-0.1,4.2,0.5,1.6,0.4,-0.4,0.8,30.3,1.7,4.3,2694.08,2.5,43.2
Paraguay,10.4,96.6,87.8,71.6,65.2,0.7,25.0,5.5,-3.2,-7.2,27.9,0.6,3.2,0.8,0.0,0.8,135.2,0.3,10.0,8905.02,4.5,26.6
Peru,7.5,86.3,75.4,83.6,65.7,0.7,21.7,5.4,-1.3,-1.1,39.2,0.7,1.6,0.8,-0.2,1.5,20.4,1.2,13.3,12580.60,4.2,25.3
Philippines,13.5,91.5,73.2,85.1,61.1,0.8,13.6,6.6,-1.2,3.4,14.4,17.3,0.8,0.5,-0.1,1.0,38.0,0.9,28.7,7612.58,7.1,35.7
Poland,0.0,98.3,97.2,97.3,68.7,0.7,7.7,-0.2,5.3,0.7,35.5,19.0,1.8,2.4,0.1,7.3,9.1,4.3,10.0,27670.46,9.2,52.0
Portugal,0.0,100.0,99.7,99.1,71.4,0.7,12.6,-2.0,5.7,-1.2,9.4,11.8,1.7,2.0,0.1,4.1,26.2,6.3,2.4,28479.61,14.2,127.9
Qatar,0.0,100.0,98.0,62.7,67.8,0.6,36.0,17.3,3.7,0.0,1.9,374.1,1.2,20.3,-0.3,35.7,0.0,0.0,29.6,129511.85,0.3,46.2
Romania,0.0,100.0,79.0,85.6,66.8,0.7,5.9,-1.6,1.1,0.1,8.4,3.3,1.2,1.6,0.1,3.4,19.3,2.1,21.6,21916.40,7.0,39.7
Russia,0.0,96.9,72.2,92.1,63.4,0.7,14.1,0.8,-3.9,0.0,2.0,1.3,1.8,4.9,0.0,10.2,2.5,0.1,11.9,25185.53,5.1,18.4
Rwanda,31.6,75.5,60.8,72.8,56.6,0.7,21.4,10.0,-0.1,0.2,11.4,1.1,0.8,0.3,0.0,0.2,83.4,0.1,4.8,1891.31,0.6,41.5
Saudi Arabia,5.0,97.0,100.0,95.7,64.4,0.6,8.9,9.6,-1.4,0.0,6.2,943.3,1.4,6.9,0.0,16.4,0.0,0.0,24.3,53728.17,5.6,17.2
Senegal,10.0,77.8,47.1,46.9,58.3,0.7,13.5,13.3,-0.6,0.0,35.1,5.7,0.9,0.3,0.1,0.4,45.9,0.1,11.0,2564.38,10.0,57.3
Serbia,0.0,99.2,96.5,84.1,67.7,0.7,6.9,-1.9,0.3,0.1,7.0,2.6,1.0,1.9,0.1,5.3,15.1,0.2,10.5,14047.03,22.2,78.9
Sierra Leone,22.3,61.6,13.1,46.4,44.4,0.6,8.2,9.2,-4.4,0.1,5.9,0.1,1.2,0.3,0.0,0.2,83.4,0.0,4.7,1645.33,3.3,52.5
Singapore,0.0,100.0,100.0,112.0,73.9,0.7,17.7,6.8,9.6,0.0,4.7,41.9,2.1,5.1,0.0,8.3,1.3,0.0,36.9,86853.69,3.0,98.2
Slovak Republic,0.0,100.0,98.8,81.9,68.1,0.7,6.5,0.5,4.4,0.0,43.4,1.1,1.2,2.9,0.1,5.4,8.9,9.5,1.3,31012.83,13.3,52.1
Slovenia,0.0,99.5,99.1,98.5,71.1,0.8,5.7,0.5,5.1,0.0,54.0,3.6,1.5,3.2,0.1,6.2,18.3,8.9,10.8,31871.85,9.5,80.7
South Africa,5.0,92.8,65.8,75.1,54.4,0.8,54.5,6.6,1.3,0.0,17.8,3.2,1.0,2.7,0.0,8.1,10.8,0.0,2.1,13166.21,25.1,51.4
Spain,0.0,100.0,99.9,108.6,72.4,0.7,15.2,-0.7,4.7,0.1,20.0,33.0,1.5,2.5,0.1,5.0,15.5,6.9,6.6,36142.84,24.7,99.0
Sri Lanka,22.0,95.6,95.1,78.8,67.0,0.7,10.5,3.4,-1.5,0.0,34.3,24.5,0.8,0.5,-0.1,0.8,49.7,2.3,17.3,11127.26,4.6,76.0
Sudan,0.0,55.5,23.6,47.7,55.9,0.6,10.1,9.0,-9.7,-0.3,2.6,71.2,1.1,0.4,-0.1,0.3,68.2,0.1,6.1,4416.53,14.8,58.3
Sweden,0.0,100.0,99.3,105.2,72.0,0.8,6.8,3.7,10.4,0.0,26.4,1.5,3.4,5.0,0.1,3.9,35.9,16.4,18.8,49424.52,8.0,42.6
Switzerland,0.0,100.0,99.9,88.1,73.1,0.8,7.6,4.7,11.0,0.0,17.3,3.7,1.5,3.1,0.1,4.6,21.1,12.7,15.0,59150.12,4.5,44.9
Syria,20.0,90.1,95.7,54.1,55.9,0.6,9.0,-9.7,-10.6,0.1,1.0,84.2,0.7,0.5,0.5,1.2,2.5,0.1,-3.4,6374.90,10.8,30.0
Taiwan,6.3,100.0,100.0,95.6,73.2,0.7,9.3,1.2,6.4,0.0,20.4,25.8,2.3,5.2,0.0,10.7,1.7,0.7,9.6,47811.58,3.9,38.2
Tajikistan,33.2,73.7,95.0,70.1,62.1,0.7,7.1,9.4,-5.8,0.0,25.1,51.7,0.8,0.3,-0.2,0.6,49.1,0.3,12.8,2800.83,10.9,50.3
Tanzania,32.1,55.5,15.0,52.3,54.2,0.7,10.0,13.5,-2.9,-0.1,50.7,5.4,1.2,0.5,-0.1,0.2,85.6,0.5,15.1,3072.64,3.1,42.4
Thailand,7.4,97.8,93.0,79.4,66.8,0.7,11.0,1.6,-1.7,0.0,25.1,13.7,1.1,2.0,-0.1,3.6,19.6,0.2,12.0,16706.32,0.9,43.7
Togo,11.4,62.4,11.6,71.9,52.8,0.6,18.1,11.2,-4.9,-0.5,32.0,1.2,0.8,0.5,0.0,0.2,80.0,0.5,-20.8,1533.93,6.9,61.1
Trinidad and Tobago,7.4,95.1,91.5,67.3,63.3,0.7,14.2,1.9,0.5,0.0,30.0,8.8,1.0,14.5,0.0,17.1,0.1,0.0,-6.8,32432.02,4.0,62.8
Tunisia,5.0,97.7,91.6,79.5,66.7,0.6,10.4,4.1,-1.6,0.1,9.2,69.7,1.2,1.0,0.0,2.3,11.1,1.4,-2.7,11651.96,13.3,57.7
Turkey,5.0,100.0,94.5,95.8,66.2,0.6,13.9,7.0,-0.7,0.1,0.2,19.8,1.4,1.6,-0.1,4.0,9.9,2.0,10.8,21198.48,9.2,30.7
