,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Thailand,8.3,97.1,93.2,79.7,66.4,0.7,11.0,1.4,-1.6,0.0,25.1,13.7,1.0,1.9,-0.2,3.6,19.3,0.2,12.5,15541.56,0.7,43.6
Togo,14.5,61.1,11.5,71.9,52.3,0.6,18.1,11.4,-5.6,-0.5,32.0,1.2,0.7,0.5,-0.1,0.2,80.1,0.1,-20.8,1432.87,7.0,57.5
Trinidad and Tobago,8.7,95.1,91.5,67.3,63.1,0.7,14.2,2.0,0.7,0.0,30.0,8.8,1.0,14.3,0.0,16.4,0.1,0.0,-6.8,33054.46,5.0,40.9
Tunisia,5.0,96.9,90.3,78.3,66.3,0.6,10.4,4.3,-1.5,0.1,9.2,69.7,1.1,1.0,0.0,2.2,11.1,1.4,-0.7,11339.68,14.0,50.1
Turkey,5.0,99.5,93.7,84.6,65.7,0.6,13.9,7.0,-0.4,0.1,0.2,19.8,1.4,1.6,-0.1,4.0,10.3,2.2,10.2,19698.30,9.2,33.5
Turkmenistan,5.0,60.4,62.7,61.3,59.0,0.7,10.7,5.2,-8.0,0.0,2.8,112.5,1.3,4.9,-0.1,12.4,0.0,0.2,11.3,15501.71,10.8,17.4
Uganda,25.0,75.8,18.5,62.8,52.5,0.7,14.2,14.1,-3.5,-0.4,24.6,1.6,1.2,0.3,0.0,0.2,83.6,1.7,2.6,1944.29,4.2,31.2
Ukraine,0.0,96.5,95.8,95.4,63.8,0.7,4.7,-1.2,-3.4,0.0,3.8,8.5,1.5,2.7,0.1,6.0,2.2,0.7,0.6,8721.37,7.5,70.3
United Arab Emirates,5.0,99.6,97.5,62.7,67.9,0.6,8.9,17.3,3.4,0.0,0.6,1867.0,1.8,7.6,0.1,19.0,0.1,0.7,16.2,66346.63,4.0,15.7
United Kingdom,0.0,100.0,99.2,86.6,71.0,0.7,8.4,3.0,8.2,0.0,38.4,5.5,1.9,3.0,0.1,7.3,4.5,3.4,3.6,40163.30,8.0,88.2
United States,0.0,99.1,100.0,97.3,68.8,0.7,17.9,3.1,7.5,0.0,16.0,13.6,2.3,6.9,0.1,16.0,6.4,0.6,5.7,54360.50,8.2,105.0
Uruguay,5.0,99.3,95.9,89.9,67.7,0.7,15.6,1.3,4.4,0.2,3.3,2.1,3.3,1.4,-0.1,2.4,40.4,6.3,9.9,21054.99,6.5,61.2
Uzbekistan,5.5,87.3,100.0,68.0,62.1,0.7,9.8,8.9,-7.6,0.0,5.4,1.6,0.9,1.6,0.1,3.6,2.0,0.0,11.3,5629.94,10.8,7.6
Venezuela,5.0,92.9,94.0,87.8,64.9,0.7,64.3,6.0,-7.5,0.0,54.0,1.8,1.3,2.4,-0.1,6.0,10.7,0.0,14.5,17778.93,8.1,48.5
Vietnam,12.5,93.8,73.1,65.8,66.0,0.7,11.6,4.3,-3.2,0.1,14.9,9.3,0.8,0.4,-0.5,1.4,32.7,0.4,15.6,5649.65,1.8,55.5
Yemen,25.7,54.9,53.3,54.8,57.4,0.5,9.1,11.2,-8.3,0.0,0.0,168.6,0.5,0.2,0.3,0.7,1.8,0.2,-11.5,3787.65,17.7,48.7
Zambia,48.8,63.0,43.2,84.9,52.4,0.6,30.4,12.9,-1.2,0.0,45.8,1.5,0.7,0.6,0.0,0.2,90.3,0.0,3.5,3810.75,13.1,35.1
Zimbabwe,33.5,77.5,37.3,59.5,49.7,0.7,20.0,8.6,-8.1,-0.2,18.5,17.9,0.9,0.7,-0.1,0.8,70.1,0.0,7.6,2067.27,5.3,51.1
