,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Chile,5.0,97.0,95.4,87.2,69.1,0.7,26.7,4.7,6.8,0.6,10.8,3.8,2.7,1.8,-0.1,3.4,25.3,0.1,2.5,18121.98,7.7,4.9
China,14.8,86.3,54.9,63.9,67.0,0.7,17.0,2.3,-3.4,2.6,16.3,16.1,0.9,1.5,-0.5,4.5,12.5,0.4,33.4,7505.53,4.0,31.6
Colombia,9.4,90.6,77.5,82.7,64.2,0.7,84.5,5.3,-2.7,-2.8,15.2,0.5,1.3,0.6,-0.1,1.2,25.3,0.1,5.1,10263.37,11.7,32.1
Congo,33.3,72.2,13.6,55.1,50.9,0.6,17.9,11.5,-6.9,-0.5,29.9,0.6,0.8,0.4,-0.6,0.3,68.5,0.1,-103.6,5122.44,6.6,68.1
Congo Democratic Rep.,0.0,49.3,25.2,50.9,47.9,0.6,16.0,13.7,-9.6,-1.4,12.1,0.6,0.8,0.3,0.0,0.0,98.0,0.0,-11.5,531.99,8.2,90.5
Costa Rica,5.2,96.4,93.0,77.8,69.2,0.7,30.7,5.9,2.8,2.9,47.0,2.8,1.5,1.0,-0.3,1.4,52.1,0.4,19.0,12393.72,5.9,24.2
Cote d'Ivoire,13.9,79.5,19.5,40.4,68.2,0.6,16.6,7.8,-7.9,0.3,22.7,1.8,0.9,0.5,-0.3,0.3,79.5,0.1,4.3,2526.57,4.1,70.8
Croatia,0.0,98.8,97.2,79.9,67.4,0.7,7.6,-0.1,2.0,0.6,16.0,0.6,1.8,2.2,-0.1,4.5,17.9,0.5,9.7,20875.52,11.1,38.9
Cuba,5.0,92.4,89.7,94.2,68.3,0.7,17.1,0.6,-3.9,4.7,4.2,13.0,0.8,0.9,0.1,2.3,15.8,0.2,7.0,17075.50,1.9,19.1
Cyprus,0.0,100.0,100.0,77.6,69.8,0.7,7.0,6.5,6.3,0.4,9.1,21.5,1.9,3.1,0.0,9.6,2.4,1.3,11.0,35125.71,4.5,44.6
Czech Republic,0.0,99.9,99.1,83.7,67.6,0.7,6.1,1.0,5.3,0.2,23.2,14.9,2.4,4.5,-0.1,11.6,4.2,6.6,9.4,27947.15,7.1,28.7
Denmark,0.0,100.0,99.6,101.4,69.2,0.8,6.9,1.3,11.3,0.0,23.3,7.8,4.0,3.7,-0.1,10.4,14.3,5.3,15.4,42874.23,3.9,33.4
Dominican Republic,21.7,86.4,80.4,77.8,64.1,0.7,28.4,6.0,-1.9,7.1,19.5,19.2,0.8,0.8,0.1,2.0,14.1,4.4,8.8,10505.72,16.4,19.6
Ecuador,17.8,82.8,76.4,83.8,65.6,0.7,36.3,6.9,-5.1,-3.3,30.7,2.2,1.0,0.7,0.0,1.8,13.6,0.6,0.3,8904.89,6.3,22.2
Egypt,5.0,97.3,91.1,71.4,60.9,0.6,6.7,7.4,-3.8,0.0,18.2,115.1,1.1,0.9,-0.3,2.0,4.0,0.4,4.3,10116.03,10.6,66.8
El Salvador,11.0,86.9,67.7,78.5,61.2,0.7,19.8,1.4,-1.0,-2.2,8.1,8.6,1.2,0.8,-0.1,1.1,55.7,0.5,5.4,7158.95,6.6,39.3
Estonia,0.0,99.3,97.1,93.1,65.0,0.7,9.8,-2.2,6.3,0.1,26.3,13.7,4.1,3.8,-0.1,11.5,10.4,8.8,15.6,24283.79,5.9,4.5
Ethiopia,42.4,40.1,16.5,42.8,50.6,0.6,7.1,11.7,-5.6,-1.4,23.5,4.6,0.9,0.5,0.0,0.1,95.8,0.3,14.5,924.04,5.3,39.5
Finland,0.0,100.0,97.5,101.4,69.5,0.8,6.1,1.5,11.3,-0.3,13.3,6.0,1.9,7.1,-0.1,12.6,23.2,6.5,15.7,40592.80,7.6,32.7
France,0.0,100.0,98.7,94.3,71.4,0.7,7.2,2.8,7.6,2.0,28.0,14.8,2.5,4.2,0.0,5.7,5.7,2.0,10.6,37313.11,8.8,67.9
Gabon,5.0,88.6,40.0,75.4,53.4,0.6,14.6,9.3,-3.8,0.0,24.9,0.8,1.9,2.4,-0.6,1.3,81.3,0.0,-10.4,15590.35,21.0,16.9
Gambia,14.6,86.5,59.1,56.5,51.4,0.7,20.6,13.8,-3.0,1.9,7.0,1.1,0.8,0.4,0.0,0.1,86.0,0.0,-14.3,1440.64,7.1,63.9
Georgia,6.4,93.8,91.8,75.2,66.4,0.7,15.0,-5.1,-1.9,0.6,6.5,2.9,0.8,0.7,-0.2,1.0,27.8,0.0,6.7,6124.74,13.6,31.2
Germany,0.0,100.0,99.2,95.3,70.3,0.7,10.3,-0.3,9.1,0.2,34.8,6.7,2.0,4.3,0.0,9.8,5.9,4.8,12.0,39949.20,10.3,65.0
Ghana,9.4,78.3,12.3,56.2,52.8,0.7,17.2,10.9,0.4,1.3,17.1,1.7,1.4,0.3,0.1,0.4,57.1,0.1,7.0,2826.29,3.6,33.6
Greece,0.0,99.6,97.4,97.9,70.5,0.7,11.6,1.1,4.3,2.3,16.3,14.1,2.3,2.7,-0.1,8.5,5.9,3.6,4.1,31558.22,8.9,108.8
Guatemala,15.5,88.0,58.8,59.9,60.2,0.6,40.7,9.7,-3.6,-4.7,63.3,2.6,1.2,0.6,0.0,0.8,56.9,0.3,8.0,6667.54,1.8,20.1
Guinea,20.7,68.8,15.8,46.0,49.2,0.6,12.8,9.4,-8.1,-1.5,40.7,0.2,1.3,0.4,0.0,0.1,86.0,0.1,-24.2,1156.79,2.0,90.2
Guinea-Bissau,25.7,62.5,16.3,60.0,48.0,0.6,17.7,9.0,-5.5,-3.5,24.2,0.6,1.5,0.4,0.0,0.1,86.0,0.3,-22.4,1272.49,6.9,163.4
Guyana,10.8,91.0,81.6,79.7,58.3,0.7,10.5,0.4,-2.7,-0.2,5.4,0.6,1.5,0.2,0.0,0.4,54.1,0.0,4.4,5188.82,11.2,61.6
Haiti,55.8,60.4,24.2,58.6,54.0,0.7,80.6,6.5,-7.1,-0.3,0.3,3.0,0.5,0.4,-0.4,0.2,80.6,0.0,23.0,1526.17,7.3,38.0
Honduras,15.9,85.2,71.9,71.7,63.3,0.7,75.9,7.7,-3.7,-11.7,18.5,1.7,1.3,0.6,-0.1,0.9,49.5,0.2,21.6,4218.48,3.1,23.0
Hungary,0.0,99.4,98.0,90.4,65.3,0.7,6.6,-0.7,5.6,1.5,13.0,5.4,1.8,2.7,-0.1,5.4,4.5,2.9,6.1,22715.99,7.5,71.6
Iceland,0.0,100.0,98.8,95.9,71.6,0.8,7.1,7.6,10.5,0.1,4.4,1.3,45.4,12.7,-0.2,7.5,80.3,0.2,1.4,41367.47,3.0,67.6
India,18.9,86.5,31.6,55.9,56.7,0.6,7.6,6.4,-1.0,1.3,7.9,33.1,0.5,0.5,-0.1,1.0,32.2,0.2,22.6,3747.54,4.3,74.5
Indonesia,18.5,81.9,53.1,65.7,60.6,0.6,7.8,5.4,-3.8,-4.1,12.4,5.6,0.8,0.8,-0.1,1.5,34.8,0.1,16.3,7636.64,10.3,30.3
Iran,6.6,95.2,84.8,64.5,63.7,0.6,12.5,4.7,-6.0,0.9,9.1,67.9,1.0,2.5,-0.2,6.3,1.2,0.0,7.9,15875.71,11.6,9.3
Iraq,26.5,83.2,80.1,63.0,57.3,0.6,6.4,10.9,-10.8,0.0,0.3,73.4,0.5,0.9,0.2,2.5,2.2,0.0,-8.4,11609.75,17.5,75.5
Ireland,0.0,97.0,89.8,97.0,70.0,0.8,8.2,10.1,9.4,1.6,1.5,1.5,2.6,3.4,0.1,10.6,2.9,0.9,18.7,46337.95,4.4,42.4
Israel,0.0,100.0,100.0,91.3,71.0,0.7,17.3,7.3,3.6,0.3,20.1,79.7,1.9,2.9,0.0,8.7,3.7,0.8,13.6,27815.41,8.4,71.6
Italy,0.0,100.0,99.5,90.6,71.6,0.7,11.3,2.0,3.7,2.4,20.1,27.0,2.2,3.2,0.0,7.7,8.3,9.0,8.6,36105.39,6.8,102.4
Jamaica,7.3,93.6,81.2,79.4,65.3,0.7,17.4,1.4,0.0,-0.3,33.4,7.6,0.9,1.6,-0.1,4.4,9.9,0.1,12.6,8380.44,9.6,127.0
Japan,0.0,100.0,100.0,87.0,74.0,0.6,9.2,0.2,7.5,0.2,24.7,19.3,1.4,4.1,0.0,9.1,3.2,0.2,8.5,33528.02,4.1,191.8
Jordan,5.0,96.9,98.2,81.7,64.0,0.6,8.3,14.2,-0.3,0.0,3.6,92.4,1.1,1.2,-0.2,3.3,1.5,0.1,9.8,10353.23,14.0,60.2
Kazakhstan,5.0,93.4,97.1,89.9,58.9,0.7,6.6,3.9,-3.6,0.0,4.3,18.1,1.5,4.0,-0.5,11.3,1.1,0.0,-15.8,17937.89,7.8,6.8
Kenya,26.3,56.8,28.3,59.2,49.8,0.7,22.7,11.0,-3.8,0.6,21.5,5.0,0.9,0.5,0.0,0.2,83.5,0.0,10.2,2393.89,9.5,41.5
"Korea, North",37.5,99.8,72.3,80.5,61.8,0.7,8.9,2.8,-9.2,-10.5,4.2,11.2,0.5,0.9,-0.1,3.2,9.9,0.2,29.3,1038.00,4.2,30.0
"Korea, South",5.0,96.6,100.0,98.6,71.3,0.6,7.8,1.5,3.9,-1.1,13.8,41.9,1.6,4.4,-0.1,9.6,0.6,0.5,18.6,27522.98,3.4,28.2
Kuwait,5.0,99.0,100.0,81.4,64.6,0.6,8.9,21.1,1.5,0.1,7.6,275.0,1.6,10.7,-0.1,28.2,0.0,0.2,31.8,68753.32,1.3,9.6
Kyrgyz Republic,9.2,83.0,92.4,78.3,60.3,0.7,11.5,4.5,-6.1,-0.5,30.3,32.6,0.8,0.5,0.0,0.9,42.5,0.0,1.7,2665.93,8.3,48.5
Laos,25.6,59.0,46.5,58.7,54.6,0.7,9.3,6.5,-6.3,3.0,19.1,1.5,1.1,0.2,0.0,0.4,54.1,0.0,-0.2,3268.07,1.4,60.3
Latvia,0.0,98.6,83.9,95.0,63.7,0.7,11.4,-3.8,4.3,1.7,31.4,0.6,4.8,2.1,-0.2,3.6,30.5,8.1,-2.3,20526.55,6.8,16.2
Lebanon,5.0,92.9,81.8,75.7,63.8,0.6,9.7,10.4,-4.3,0.6,7.4,24.3,1.4,1.2,0.2,3.4,5.0,0.5,-5.3,13748.35,8.4,163.1
Lesotho,10.8,80.1,26.7,64.4,40.3,0.7,42.9,3.0,-1.3,0.1,21.1,1.4,1.1,0.4,0.0,0.1,86.0,0.0,19.3,2036.17,32.5,50.8
Liberia,37.8,67.6,14.6,63.9,49.3,0.6,11.9,12.7,-5.4,-3.1,11.9,0.6,1.1,0.4,0.0,0.1,86.0,0.0,90.5,687.20,4.1,309.7
Libya,0.0,91.0,96.5,93.3,63.6,0.6,8.9,7.3,-6.2,0.0,0.3,708.0,1.1,3.0,0.0,7.1,0.8,0.1,28.8,28662.44,19.3,1.0
Lithuania,0.0,93.4,88.9,96.2,62.8,0.7,11.5,-5.4,4.1,2.3,15.8,9.6,2.5,2.7,0.0,3.8,10.7,3.5,18.7,22529.53,5.6,15.4
Luxembourg,0.0,100.0,97.7,76.4,70.0,0.7,7.3,6.3,9.8,0.0,39.0,1.5,2.4,9.2,-0.1,23.9,1.8,2.8,13.7,90224.79,4.7,14.4
Macedonia,0.0,99.3,90.1,69.5,65.4,0.7,16.8,0.9,-1.7,1.9,12.2,8.9,1.3,1.4,-0.2,4.3,10.8,0.0,5.4,11055.82,36.0,20.6
Madagascar,33.0,43.1,10.9,60.9,53.7,0.7,11.7,12.3,-1.2,-0.8,11.5,4.9,1.0,0.4,0.0,0.1,86.0,0.0,7.1,1479.19,3.9,31.5
Malawi,24.6,73.7,37.0,63.5,42.3,0.7,13.3,11.6,-2.3,-3.5,33.0,7.9,0.7,0.4,0.0,0.1,86.0,0.0,3.6,875.64,7.8,40.2
Malaysia,5.0,96.1,93.8,68.3,65.4,0.6,18.8,7.5,2.3,-0.4,23.8,1.9,1.8,2.5,-0.2,6.2,3.6,0.0,15.7,19502.46,3.3,39.9
Mali,7.7,58.7,20.6,30.2,48.0,0.6,12.0,13.8,-1.2,-0.6,8.7,4.3,1.4,0.4,0.0,0.1,86.0,0.0,10.3,1869.97,8.3,21.8
Malta,0.0,100.0,100.0,80.2,70.0,0.7,52.2,2.0,7.2,0.0,37.2,65.4,2.0,2.1,-0.1,6.4,0.1,0.2,6.9,28202.64,6.9,62.7
Mauritania,10.5,49.5,30.8,46.6,53.2,0.6,11.9,11.9,-3.2,-0.1,0.0,11.8,1.9,0.4,0.0,0.1,86.0,0.1,-6.8,3556.26,31.8,89.8
Mauritius,5.3,99.5,92.2,76.1,65.4,0.6,9.3,2.2,4.1,-1.7,5.7,26.4,1.4,1.0,-0.2,2.7,20.5,0.0,9.7,14039.58,9.1,44.0
Mexico,5.0,92.0,79.4,73.2,66.7,0.6,21.5,5.8,-0.7,-0.8,14.1,17.0,1.4,1.7,-0.1,3.9,9.4,1.8,9.5,15202.43,3.2,42.8
Moldova,0.0,86.4,74.2,71.9,61.5,0.7,9.7,-1.0,-2.9,1.6,4.3,9.2,1.1,1.0,-0.1,2.1,3.2,0.5,13.4,3719.95,7.4,19.3
Mongolia,32.4,60.9,53.5,79.4,59.5,0.7,9.0,5.0,-0.7,0.3,15.8,1.6,3.4,1.3,-0.3,4.8,4.9,0.0,23.0,7187.84,5.9,44.2
Montenegro,0.0,98.1,91.4,77.7,66.1,0.7,6.5,0.6,-0.8,9.0,22.4,2.4,1.2,1.9,-0.1,3.7,30.3,4.9,6.9,13816.88,18.2,29.0
Morocco,5.4,81.4,69.9,59.2,62.6,0.6,12.5,4.0,-2.2,1.3,28.4,43.4,1.1,0.5,-0.2,1.3,14.0,0.0,25.9,6033.75,9.7,45.4
Mozambique,36.0,45.6,16.9,52.5,44.9,0.7,18.9,12.2,-1.9,-2.8,18.1,0.5,0.7,0.4,0.0,0.1,96.7,0.0,-5.2,818.48,22.6,36.3
Myanmar,30.1,73.5,70.8,46.8,57.0,0.7,22.1,3.1,-10.0,-5.1,6.6,2.8,1.3,0.3,-0.1,0.2,70.2,0.0,29.3,3304.67,3.4,53.0
Namibia,27.6,83.9,30.3,70.3,52.5,0.7,44.2,5.2,1.8,-0.9,28.7,0.8,1.3,0.6,-0.1,1.2,25.3,0.0,31.0,8219.15,21.7,18.6
Nepal,14.8,83.2,31.5,65.4,58.8,0.6,10.8,4.8,-5.4,-3.2,22.4,4.5,0.8,0.4,0.0,0.1,90.9,0.2,21.7,1792.56,2.3,41.9
Netherlands,0.0,100.0,97.9,98.4,70.9,0.7,8.2,1.0,9.8,0.4,19.2,11.7,2.2,4.9,0.0,10.0,3.0,2.5,16.4,45519.87,3.9,54.5
New Zealand,0.0,100.0,100.0,106.1,70.4,0.8,12.5,4.9,10.2,0.5,43.8,1.5,2.9,4.0,0.1,8.0,32.1,0.5,7.5,30607.56,3.9,16.9
Nicaragua,22.3,82.5,60.6,69.8,58.8,0.7,14.8,5.4,-3.2,-5.8,58.4,0.9,1.3,0.5,0.0,0.8,51.8,1.1,10.8,3825.26,5.3,26.5
Niger,13.7,49.8,8.2,26.2,48.3,0.6,12.8,16.0,-3.4,-0.2,36.2,2.9,1.6,0.1,0.0,0.1,84.6,0.0,3.1,841.66,5.1,21.1
Nigeria,6.0,59.0,31.9,55.7,44.1,0.6,15.1,11.0,-6.7,-4.5,8.5,4.6,1.1,0.7,0.0,0.4,80.3,0.0,14.2,4429.46,7.6,9.6
Norway,0.0,100.0,98.1,99.3,71.0,0.8,7.5,3.2,10.0,-0.1,12.5,0.7,4.6,5.8,-0.1,7.6,42.5,4.3,16.7,62489.74,3.4,47.3
Oman,9.2,88.6,94.2,69.3,65.2,0.6,8.9,8.7,1.1,0.0,1.0,84.7,1.7,6.0,-0.7,12.7,0.0,0.0,-10.1,40487.02,7.8,4.8
Pakistan,22.9,89.7,47.6,41.7,55.8,0.6,6.9,8.5,-5.4,-0.6,9.9,73.2,0.5,0.5,-0.1,0.8,37.5,0.1,6.9,4149.48,6.1,57.9
Panama,21.1,91.7,70.1,77.0,66.9,0.7,56.5,7.4,0.4,-2.3,36.5,0.7,1.6,0.9,-0.1,2.1,25.6,0.2,29.0,14194.60,8.7,42.6
Papua New Guinea,0.0,37.5,19.1,37.0,54.7,0.7,19.1,10.2,-4.6,-0.1,4.2,0.5,1.7,0.2,0.0,0.4,54.1,0.2,4.3,1750.01,2.7,31.7
Paraguay,11.4,83.8,77.2,72.8,63.9,0.6,37.0,6.4,-4.9,-5.5,27.9,0.4,3.1,0.7,0.0,0.6,166.2,0.1,8.4,6426.85,6.7,18.1
Peru,17.0,82.8,68.5,82.6,63.1,0.7,34.3,5.0,-2.2,-1.1,26.6,0.8,1.6,0.5,-0.1,1.0,31.1,0.5,11.3,8875.83,4.6,28.0
Philippines,15.0,88.9,67.8,76.9,59.8,0.8,14.6,7.2,-3.2,0.0,14.0,16.5,0.8,0.4,0.1,0.7,43.8,0.0,32.5,5116.99,8.0,44.2
Poland,0.0,97.0,91.3,86.5,66.7,0.7,8.3,-0.2,2.8,0.8,35.2,19.8,1.7,2.5,-0.1,8.1,4.8,1.5,7.4,19374.40,13.8,46.6
Portugal,0.0,99.0,97.9,90.5,69.4,0.7,11.8,0.8,6.0,-1.1,7.9,12.1,1.9,2.4,0.0,5.4,16.7,5.8,0.2,26314.98,7.7,71.7
Qatar,0.0,99.8,98.7,73.7,66.2,0.6,8.9,76.4,3.0,0.0,1.9,374.1,1.9,19.8,0.1,38.9,0.0,0.0,29.1,104087.86,0.9,11.1
Romania,0.0,92.3,75.9,78.5,64.9,0.7,16.5,-3.2,0.6,0.0,6.3,3.5,1.6,1.9,-0.1,4.5,12.0,0.8,-0.6,17487.82,7.3,13.4
Russia,0.0,95.8,72.3,81.5,60.4,0.7,14.4,-1.3,-4.4,0.0,1.8,1.4,1.9,4.7,-0.1,10.7,2.8,0.0,9.2,23068.28,7.1,7.5
Rwanda,45.2,70.4,53.3,61.0,50.1,0.7,24.7,9.1,-3.6,0.2,11.4,1.1,0.7,0.4,0.0,0.1,86.0,0.0,4.0,1212.29,0.6,20.9
Saudi Arabia,5.0,97.0,100.0,75.1,63.3,0.6,8.9,11.7,-2.7,0.0,6.2,943.3,1.2,5.3,-0.1,12.5,0.0,0.0,22.8,45127.60,6.3,12.1
Senegal,18.9,71.8,43.1,40.7,54.4,0.6,12.7,11.5,-1.6,0.0,35.1,5.7,0.9,0.2,0.0,0.4,45.0,0.0,7.9,2071.56,10.0,23.9
Serbia,0.0,99.3,96.7,77.5,65.8,0.7,6.9,-1.3,-1.9,0.1,6.5,2.4,1.2,2.3,-0.2,7.0,10.2,0.0,6.9,12086.95,20.8,32.4
Sierra Leone,34.4,53.3,12.1,46.4,39.9,0.6,10.6,16.0,-5.1,-0.1,3.9,0.1,1.0,0.4,0.0,0.1,86.0,0.0,-11.5,1237.82,3.4,42.4
Singapore,0.0,100.0,100.0,96.6,72.3,0.7,17.7,11.5,8.6,0.0,4.7,41.9,1.5,5.3,0.0,8.7,0.8,0.0,37.2,63394.25,3.6,95.3
Slovak Republic,0.0,99.9,98.8,79.0,66.1,0.7,5.8,0.0,4.6,0.0,43.0,1.5,1.4,3.5,0.0,6.8,4.5,5.7,4.2,24150.44,13.3,28.2
Slovenia,0.0,99.6,99.1,93.5,68.9,0.7,5.1,1.1,5.8,0.0,54.0,2.9,1.8,3.6,-0.1,7.9,10.5,5.5,14.8,30006.56,6.0,21.6
South Africa,5.0,89.4,61.1,81.3,47.4,0.7,54.8,5.6,2.6,0.0,11.9,14.8,1.1,2.7,-0.1,7.8,11.0,0.1,3.4,11780.63,22.6,26.5
Spain,0.0,100.0,99.9,96.6,70.8,0.7,10.0,7.2,5.1,0.1,19.0,31.5,2.3,3.2,0.0,7.3,6.5,3.0,10.7,33202.45,8.6,39.4
Sri Lanka,28.4,86.5,87.5,76.3,65.9,0.7,11.1,3.1,-2.1,0.0,21.4,24.5,0.8,0.5,-0.1,0.6,56.6,0.7,18.2,6678.30,6.5,81.4
Sudan,0.0,57.7,23.7,43.1,53.4,0.6,10.1,10.8,-8.7,-0.1,2.6,71.2,1.9,0.4,0.1,0.3,72.3,0.0,5.8,3465.91,14.8,68.8
Sweden,0.0,100.0,99.3,94.6,70.8,0.8,6.1,2.1,10.1,0.0,24.8,1.5,2.4,5.5,0.0,5.1,28.7,7.1,21.6,41704.21,7.1,36.7
Switzerland,0.0,100.0,99.9,85.3,71.6,0.7,9.7,2.9,10.3,0.0,14.2,4.4,1.6,3.6,0.0,5.8,15.5,11.1,21.8,52914.17,4.0,49.4
Syria,3.0,88.9,92.3,70.2,63.3,0.6,9.0,12.3,-6.1,0.1,1.0,84.2,0.9,1.2,-0.2,3.0,1.6,0.2,-3.4,5930.28,8.2,37.3
Taiwan,5.6,100.0,100.0,95.3,71.3,0.7,9.3,1.6,4.6,0.0,20.3,25.8,2.2,4.9,-0.1,10.8,1.1,0.2,0.0,34936.46,3.9,33.3
Tajikistan,39.0,65.6,92.4,69.2,58.8,0.7,9.3,8.7,-6.9,0.0,6.5,51.7,0.6,0.3,0.0,0.4,59.5,0.0,-9.6,1894.95,11.8,30.0
Tanzania,34.2,54.8,11.4,56.4,47.7,0.7,12.6,12.6,-1.9,-0.1,48.9,5.4,1.1,0.4,-0.1,0.1,89.5,0.1,12.3,1969.13,4.3,21.5
Thailand,10.4,94.7,93.5,72.2,65.4,0.7,13.2,2.4,-1.6,0.0,24.0,13.7,1.0,1.5,-0.2,3.0,18.1,0.1,12.5,12258.02,1.2,34.9
Togo,23.2,57.3,11.4,63.5,49.0,0.6,13.3,11.5,-6.4,-0.4,12.5,1.2,0.8,0.4,0.0,0.2,86.1,0.1,-2.6,1158.77,7.1,88.5
Trinidad and Tobago,11.2,94.3,91.1,67.3,61.9,0.7,12.9,2.0,0.6,0.0,30.0,8.5,0.9,13.8,-0.5,14.9,0.2,0.1,-6.7,30668.73,6.3,21.5
Tunisia,5.0,93.5,86.3,77.7,66.0,0.6,11.3,3.9,-0.2,0.2,8.7,38.3,1.1,0.9,-0.1,2.0,13.4,1.6,7.6,9763.25,12.5,43.3
Turkey,5.0,96.3,91.1,76.4,64.0,0.6,14.2,5.2,-0.2,0.1,0.2,19.5,1.4,1.3,-0.2,3.5,11.1,0.4,11.8,15732.27,10.2,40.0
