,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Central African Republic,33.7,67.2,20.7,39.7,43.4,0.6,38.2,7.8,-7.8,-0.3,22.2,0.5,1.2,0.3,0.0,0.1,84.9,0.1,5.6,949.39,6.9,34.5
Chad,40.1,49.7,11.6,43.3,44.7,0.6,17.5,14.1,-8.2,-0.8,19.5,1.9,1.4,0.3,0.0,0.1,84.9,0.0,5.6,2364.75,6.9,28.2
Chile,5.0,98.2,97.7,89.7,69.9,0.7,26.2,4.5,7.3,1.2,11.1,3.8,2.4,1.8,0.0,4.0,22.1,0.2,6.3,21464.05,8.1,12.0
China,11.7,90.5,62.9,68.8,67.7,0.7,17.7,2.0,-3.3,2.2,16.4,2.7,1.0,2.0,-0.3,5.8,11.0,0.2,34.4,11111.60,4.2,36.9
Colombia,11.2,91.0,79.3,88.9,64.7,0.7,42.1,4.6,-2.2,-2.3,19.0,0.5,1.4,0.7,0.0,1.3,23.3,0.1,3.3,12169.57,12.0,34.1
Congo,29.9,74.3,14.3,55.1,55.0,0.6,14.5,12.4,-6.2,-0.4,34.9,0.6,0.8,0.4,0.0,0.5,56.5,0.1,-103.6,6076.78,6.5,34.1
Congo Democratic Rep.,0.0,50.7,26.8,56.0,50.0,0.6,15.5,13.8,-10.0,-1.4,15.0,0.6,0.8,0.3,0.0,0.0,97.2,0.1,-18.8,631.79,8.2,23.2
Costa Rica,5.3,97.2,93.9,77.8,69.3,0.7,23.6,5.3,3.7,4.8,48.2,2.8,1.4,1.0,-0.1,1.5,52.4,0.6,16.1,14202.82,7.3,34.3
Cote d'Ivoire,14.5,80.7,20.9,40.4,69.2,0.6,17.7,9.2,-7.2,0.1,22.7,1.8,0.9,0.5,0.0,0.3,77.1,0.1,11.9,2694.24,4.1,44.8
Croatia,0.0,99.2,97.1,83.8,68.5,0.7,5.7,-3.5,2.3,0.5,16.3,0.6,1.6,2.1,0.0,4.1,22.0,1.7,5.6,20416.19,11.8,69.2
Cuba,5.0,93.5,91.7,97.0,68.9,0.7,17.1,0.4,-3.6,4.7,4.2,15.6,0.7,1.1,-0.2,2.9,10.1,0.0,3.0,18924.80,2.5,17.2
Cyprus,0.0,100.0,100.0,79.2,70.5,0.7,7.2,5.0,6.6,0.1,9.2,24.7,1.6,3.0,0.0,8.9,4.3,2.4,6.8,33334.78,6.3,79.3
Czech Republic,0.0,100.0,99.1,87.4,68.5,0.7,6.1,1.9,5.4,0.3,23.2,14.4,2.2,4.2,0.1,10.6,6.3,10.5,3.9,28693.24,7.3,44.6
Denmark,0.0,100.0,99.6,99.6,70.4,0.8,9.5,2.0,10.9,0.5,27.4,4.7,3.3,3.5,0.1,8.5,20.1,6.1,12.5,43480.18,7.5,45.2
Dominican Republic,15.9,85.9,82.1,77.8,64.3,0.7,20.1,5.5,-2.5,6.9,19.6,3.4,0.7,0.8,0.0,1.9,13.6,8.5,16.1,12314.97,12.4,30.5
Ecuador,12.8,84.9,80.7,83.8,66.2,0.7,28.2,6.8,-4.8,-3.2,32.8,2.2,1.1,0.8,-0.2,2.1,11.5,0.9,5.8,10443.71,5.0,21.6
Egypt,5.0,98.3,94.7,72.0,61.6,0.6,6.7,8.0,-3.3,0.0,18.2,126.6,1.1,0.9,0.0,2.2,3.9,2.2,6.7,11210.45,9.0,75.0
El Salvador,12.6,90.1,71.0,77.6,62.3,0.7,20.2,1.1,-0.6,-2.2,9.6,8.6,1.2,0.7,0.1,1.0,53.4,0.4,2.8,7575.70,7.0,55.2
Estonia,0.0,99.5,97.2,94.1,67.7,0.7,9.9,-1.0,6.2,-0.3,28.3,13.4,3.5,4.2,-0.1,14.0,15.1,12.0,10.7,25707.99,16.9,9.5
Ethiopia,36.0,47.8,21.7,52.9,54.2,0.6,8.6,11.1,-5.7,-1.0,23.8,4.6,1.0,0.5,0.0,0.1,95.4,0.4,14.5,1354.31,5.2,32.8
Finland,0.0,100.0,97.6,100.6,70.3,0.8,6.1,1.9,11.2,-0.2,13.4,6.0,1.8,6.8,0.0,11.5,25.5,7.4,10.0,40340.01,8.4,52.9
France,0.0,100.0,98.7,94.4,72.1,0.7,9.0,2.1,7.6,2.1,29.0,14.4,2.4,4.0,0.0,5.2,8.0,3.1,7.2,39251.05,9.3,89.4
Gabon,5.0,91.1,40.9,75.4,54.4,0.6,14.6,9.5,-3.2,1.6,29.0,0.8,1.2,3.3,-0.4,1.7,81.0,0.0,-10.4,16665.16,20.4,19.7
Gambia,7.1,88.9,58.8,55.7,52.6,0.7,20.6,13.8,-3.1,1.8,7.5,1.1,1.1,0.3,0.0,0.1,84.9,0.0,-8.0,1569.03,7.0,77.0
Georgia,10.1,96.8,89.3,72.7,66.0,0.7,17.0,-5.1,-0.4,0.8,6.7,2.9,0.7,0.7,0.0,1.1,38.8,0.1,1.1,8002.44,16.3,34.9
Germany,0.0,100.0,99.2,95.3,70.9,0.8,7.9,-0.6,8.6,0.2,36.4,21.4,1.9,4.1,0.0,9.5,8.4,5.9,11.5,44179.10,7.1,79.7
Ghana,5.6,83.1,13.7,63.8,54.1,0.7,17.2,10.7,0.6,1.3,17.1,1.7,1.6,0.3,-0.1,0.4,51.4,0.1,2.8,3819.23,5.3,49.1
Greece,0.0,100.0,98.5,102.7,71.5,0.7,11.6,0.5,2.4,2.3,21.5,14.2,2.0,2.5,0.1,7.5,7.7,3.7,-8.7,25433.14,12.5,159.0
Guatemala,14.8,90.7,61.6,68.8,61.1,0.6,33.1,9.1,-3.5,-4.2,63.3,2.6,1.2,0.7,-0.2,0.7,67.2,0.3,2.8,7103.50,3.7,24.3
Guinea,17.8,72.8,17.9,48.3,50.8,0.6,10.1,11.5,-7.5,-1.5,40.7,0.2,1.3,0.3,0.0,0.1,84.9,0.1,-35.0,1210.86,1.6,35.4
Guinea-Bissau,22.4,69.8,18.9,60.0,49.9,0.6,25.8,9.6,-6.1,-3.5,24.2,0.6,1.5,0.3,0.0,0.1,84.9,0.0,-22.6,1426.95,6.8,52.1
Guyana,11.8,94.2,83.2,70.4,58.3,0.7,31.3,1.4,-2.1,-0.3,11.7,0.5,1.6,0.3,-0.1,0.5,45.1,0.3,-3.0,6469.09,11.3,62.5
Haiti,49.3,59.3,25.9,58.4,54.4,0.7,85.3,6.2,-7.0,-0.3,0.3,1.3,0.5,0.4,0.0,0.2,82.2,0.0,18.0,1614.06,8.1,16.3
Honduras,14.6,88.0,77.4,74.5,64.2,0.7,37.6,6.8,-3.6,-10.7,18.5,1.7,1.2,0.6,-0.1,1.0,48.8,0.6,13.1,4515.53,4.8,35.2
Hungary,0.0,100.0,98.0,89.8,66.5,0.7,7.0,-0.8,4.3,1.0,13.4,5.1,1.1,2.6,0.1,4.8,7.6,2.7,6.1,22936.52,11.2,78.3
Iceland,0.0,100.0,98.8,97.5,72.2,0.9,6.0,2.4,8.6,0.1,17.6,1.8,31.3,17.0,-0.3,6.1,88.5,0.3,1.4,41079.47,7.6,92.6
India,15.6,90.3,35.5,64.7,58.2,0.6,8.2,5.7,-1.7,1.3,7.9,33.9,0.6,0.6,-0.2,1.3,27.5,0.4,21.2,5003.37,3.5,67.7
Indonesia,11.1,84.5,57.0,74.1,61.3,0.7,8.4,5.4,-2.9,-3.2,12.9,5.6,0.9,0.9,-0.1,1.6,32.8,0.1,25.0,9554.34,7.1,23.0
Iran,6.2,95.8,88.6,72.3,65.8,0.6,13.8,4.8,-7.3,0.5,9.1,67.9,1.1,2.8,-0.1,6.7,0.7,0.0,9.2,16794.81,13.5,16.8
Iraq,24.5,85.1,83.3,63.0,61.5,0.6,6.4,12.1,-8.5,0.0,0.3,73.4,0.5,1.2,-0.4,3.4,1.2,0.0,-8.0,14986.10,15.2,34.7
Ireland,0.0,97.4,90.1,104.0,70.7,0.8,8.7,4.0,8.7,1.1,1.5,1.5,2.3,3.2,0.1,8.6,4.6,1.2,8.9,46770.14,13.9,120.2
Israel,0.0,100.0,100.0,92.1,72.2,0.7,18.5,8.2,3.4,0.2,22.0,79.7,1.7,3.0,-0.1,9.0,5.0,1.7,12.5,31461.28,6.6,67.9
Italy,0.0,100.0,99.5,91.7,72.2,0.7,12.6,1.6,3.1,2.1,20.6,28.1,2.1,2.9,0.1,6.6,12.6,8.7,3.2,35508.65,8.4,123.3
Jamaica,8.3,93.7,81.6,79.4,66.1,0.7,17.4,1.4,-0.4,-0.4,33.4,7.5,0.8,1.0,0.4,2.6,17.3,0.1,10.3,8378.21,12.4,145.3
Japan,0.0,100.0,100.0,88.0,73.9,0.7,9.2,-0.1,7.3,0.2,24.9,18.9,1.3,3.9,0.0,8.7,3.8,0.2,4.8,35651.06,5.0,238.0
Jordan,5.0,96.9,98.5,76.8,64.6,0.6,8.0,17.4,-0.5,0.0,5.4,92.4,0.9,1.2,0.1,3.1,1.9,0.1,10.7,11422.47,12.5,80.9
Kazakhstan,5.0,93.2,97.4,86.0,61.8,0.7,5.9,6.9,-3.0,0.0,4.9,18.4,1.0,4.2,-0.1,13.5,1.1,0.1,-4.5,21745.79,5.8,12.4
Kenya,23.8,60.0,29.2,67.2,53.7,0.7,22.7,11.2,-3.9,1.0,22.4,1.5,0.8,0.5,-0.1,0.3,80.8,0.0,6.6,2842.11,9.3,41.7
"Korea, North",42.0,99.7,79.9,80.5,62.7,0.7,8.9,2.2,-9.5,-10.5,4.2,11.2,0.5,0.8,0.1,2.7,11.8,0.2,31.6,1038.00,4.1,30.0
"Korea, South",5.0,97.6,100.0,98.9,72.3,0.6,7.8,2.4,4.6,-1.1,14.7,41.9,1.6,5.1,-0.1,11.1,0.7,0.8,20.1,32488.73,3.7,32.1
Kuwait,5.0,99.0,100.0,81.4,65.2,0.6,8.9,27.6,1.3,0.1,21.5,275.0,1.4,10.5,0.0,25.2,0.0,0.2,20.6,71612.54,1.8,6.8
Kyrgyz Republic,7.2,86.1,92.8,72.8,62.3,0.7,6.8,4.7,-5.3,-1.1,30.5,32.6,0.9,0.5,0.0,1.1,34.8,0.1,4.9,2870.35,8.6,49.0
Laos,21.4,67.5,58.7,61.6,56.3,0.7,10.0,7.2,-5.9,6.6,19.1,1.5,1.1,0.3,-0.1,0.5,45.1,0.3,-4.3,4336.88,1.4,62.2
Latvia,0.0,98.9,85.6,89.9,66.2,0.8,13.5,-6.4,3.9,1.5,32.2,0.7,4.1,2.1,0.0,3.9,31.8,9.1,-1.0,21234.89,18.7,36.9
Lebanon,5.0,97.7,80.9,76.6,65.1,0.6,9.7,12.4,-3.7,0.4,7.9,24.3,1.6,1.5,-0.2,4.2,3.3,0.2,-7.7,17037.30,6.2,130.8
Lesotho,11.2,80.8,28.5,64.4,45.5,0.8,45.4,4.0,-0.7,0.1,21.1,1.4,1.2,0.3,0.0,0.1,84.9,0.0,8.8,2626.92,28.3,40.3
Liberia,34.7,71.1,15.6,63.9,51.5,0.6,11.9,15.8,-4.6,-3.1,11.9,0.6,1.1,0.3,0.0,0.1,84.9,0.0,-58.0,825.72,3.7,27.0
Libya,0.0,91.0,96.6,93.3,62.5,0.6,8.9,4.5,-6.4,0.0,0.3,784.6,1.4,3.3,-0.1,7.7,0.8,0.1,34.1,22975.69,18.5,2.3
Lithuania,0.0,95.0,90.5,97.2,65.3,0.7,11.4,-6.3,4.3,1.8,16.9,4.2,2.8,2.3,0.1,3.9,15.1,5.2,19.6,24374.89,17.8,39.8
Luxembourg,0.0,100.0,97.6,78.2,70.9,0.7,7.8,8.0,10.3,0.0,39.1,1.3,3.9,8.3,0.1,21.0,3.0,2.8,19.6,89654.60,4.4,22.0
Macedonia,0.0,99.4,90.8,70.7,66.7,0.7,16.4,0.7,-0.6,1.6,12.2,8.6,1.2,1.4,0.0,4.0,14.6,3.3,6.2,12215.43,32.0,33.7
Madagascar,31.7,46.9,11.4,65.8,55.4,0.7,12.9,11.9,-4.5,-0.7,12.1,4.9,1.0,0.3,0.0,0.1,84.9,0.0,0.4,1399.51,3.6,33.7
Malawi,21.3,81.0,38.8,68.1,47.4,0.7,17.3,12.8,-1.7,-3.2,33.0,7.9,0.7,0.3,0.0,0.1,84.9,0.0,14.4,1024.88,7.5,77.5
Malaysia,5.0,97.3,95.4,71.1,65.9,0.7,19.8,6.9,2.0,2.6,23.8,1.9,1.6,2.6,0.0,6.8,3.1,0.0,14.0,22736.32,3.4,54.6
Mali,5.0,66.9,22.4,49.9,49.7,0.6,7.7,13.7,-2.5,-0.6,8.8,4.3,1.5,0.3,0.0,0.1,84.9,0.0,10.3,1980.89,8.1,25.0
Malta,0.0,100.0,100.0,82.9,70.9,0.7,6.5,2.3,7.3,0.0,41.6,46.2,1.7,2.0,0.0,6.2,0.7,0.2,6.5,30914.20,6.9,67.5
Mauritania,7.6,54.3,35.7,46.1,54.2,0.6,11.3,10.7,-5.4,-0.1,0.0,11.8,1.9,0.3,0.0,0.1,84.9,0.1,-6.8,3910.99,31.1,72.3
Mauritius,5.0,99.7,92.7,78.1,66.0,0.7,9.6,1.0,4.6,-1.0,8.1,26.4,1.4,1.1,0.0,2.9,18.3,0.0,8.5,16962.25,7.7,51.5
Mexico,5.0,94.1,82.3,74.8,66.8,0.7,22.0,6.4,-1.1,-0.6,16.8,17.2,1.2,1.5,0.1,3.8,8.7,1.5,8.9,16455.90,5.2,43.2
Moldova,0.0,87.4,75.3,69.0,63.6,0.7,7.7,-0.5,-2.3,1.7,4.3,8.7,1.0,1.0,0.0,2.2,6.1,1.3,10.5,4225.51,7.4,24.5
Mongolia,24.5,62.9,56.5,88.5,60.8,0.7,8.0,6.4,-1.3,0.8,18.3,1.6,3.0,1.5,-0.1,5.2,4.6,0.0,3.9,9879.89,6.5,34.1
Montenegro,0.0,98.9,93.5,88.7,67.2,0.7,6.2,0.7,0.5,14.9,22.4,2.5,1.8,1.9,0.0,4.1,39.4,0.7,6.5,14129.01,19.7,53.4
Morocco,5.2,83.5,73.8,65.0,64.2,0.6,12.5,4.9,-1.6,1.1,28.6,35.7,1.1,0.5,-0.1,1.4,10.9,0.1,20.2,7194.52,9.1,58.3
Mozambique,29.9,48.5,18.8,61.0,46.8,0.7,19.0,11.9,-1.6,-2.8,19.8,0.5,0.7,0.4,0.0,0.1,95.1,0.0,3.9,1010.22,22.6,39.9
Myanmar,18.0,78.1,76.6,52.1,58.1,0.7,22.1,2.8,-10.5,-5.4,6.6,2.8,1.5,0.3,0.1,0.2,78.8,0.0,31.6,4262.68,3.4,40.1
Namibia,39.4,87.3,32.2,70.3,56.2,0.7,40.8,7.5,1.9,-0.9,38.0,0.8,1.6,0.7,-0.1,1.4,19.6,0.0,14.1,9649.89,22.1,24.6
Nepal,9.2,87.0,37.9,74.9,60.4,0.6,7.5,4.3,-5.3,-1.1,25.9,4.5,0.8,0.4,-0.1,0.2,86.8,0.2,29.4,2155.79,2.7,34.5
Netherlands,0.0,100.0,97.8,101.2,71.6,0.8,7.6,1.9,9.9,0.4,27.3,11.9,2.2,5.0,0.0,10.2,3.9,2.4,14.7,46491.08,4.5,66.4
New Zealand,0.0,100.0,100.0,107.8,70.8,0.8,12.6,3.8,10.7,0.0,45.8,1.6,2.7,4.2,0.0,7.0,38.7,1.1,8.0,33637.20,6.5,32.0
Nicaragua,19.5,85.0,64.7,69.8,61.9,0.8,21.9,5.2,-3.8,-4.7,61.3,0.9,1.0,0.5,0.0,0.7,53.2,0.7,8.8,4325.87,8.0,28.6
Niger,10.5,54.0,9.5,33.3,52.0,0.6,7.7,16.7,-4.2,-0.1,36.2,2.9,1.7,0.1,-0.1,0.1,76.8,0.0,9.4,967.68,5.1,26.8
Nigeria,6.2,63.4,30.5,55.7,45.7,0.6,16.0,11.3,-7.0,-4.5,9.6,4.6,0.9,0.8,0.0,0.3,82.0,0.0,11.4,5521.83,7.6,10.4
Norway,0.0,100.0,98.1,98.0,71.4,0.8,5.8,5.2,10.3,0.0,14.2,0.8,3.6,6.9,-0.2,7.7,34.4,5.5,15.9,64629.47,3.6,30.0
Oman,5.4,91.7,96.7,76.5,65.9,0.6,8.9,23.8,1.4,0.0,1.0,84.7,1.7,6.4,-0.1,14.4,0.0,0.0,-12.9,44480.69,7.6,4.9
Pakistan,21.8,90.5,54.8,45.5,56.9,0.5,6.1,8.7,-6.7,-0.6,9.9,74.4,0.4,0.5,0.0,0.8,37.9,0.1,9.7,4505.41,5.1,64.0
Panama,13.4,93.1,72.3,76.9,67.7,0.7,36.5,7.1,0.5,-2.2,36.5,0.7,1.5,1.0,-0.1,2.4,18.6,0.1,26.8,18447.58,6.5,35.7
Papua New Guinea,0.0,39.1,19.0,37.0,55.6,0.7,19.1,9.6,-4.2,-0.1,4.2,0.5,1.6,0.3,-0.1,0.5,45.1,0.3,4.3,2192.82,2.5,26.7
Paraguay,12.1,90.3,82.7,71.6,64.7,0.7,35.1,5.5,-3.9,-6.8,27.9,0.5,3.3,0.8,-0.1,0.7,145.0,0.2,5.5,7119.25,5.7,16.2
Peru,10.7,84.6,72.0,83.6,64.2,0.7,23.0,5.2,-1.5,-1.1,35.8,0.7,1.5,0.6,-0.3,1.4,26.1,10.1,13.1,10937.12,4.0,21.2
Philippines,13.4,90.1,70.5,77.6,60.4,0.8,13.5,6.2,-3.3,0.9,14.3,17.3,0.8,0.4,0.0,0.8,39.9,0.7,36.4,6121.66,7.3,40.6
Poland,0.0,97.6,94.3,89.2,68.0,0.7,8.1,-0.2,4.7,0.8,35.5,19.3,1.8,2.6,0.0,8.0,7.3,3.4,8.0,23345.41,9.6,54.0
Portugal,0.0,99.6,99.0,96.5,70.7,0.7,10.7,0.1,5.6,-1.2,8.6,11.8,2.1,2.2,0.1,4.5,23.2,5.8,-2.1,26093.18,10.8,126.2
Qatar,0.0,100.0,98.3,57.3,67.0,0.6,27.6,61.6,4.2,0.0,1.9,374.1,1.9,15.7,0.2,32.3,0.0,0.0,29.1,148615.94,0.4,36.6
Romania,0.0,96.9,77.5,89.6,66.2,0.7,6.2,-3.5,0.9,0.0,6.9,3.4,1.4,1.7,0.1,3.7,16.7,1.3,4.9,17849.64,7.3,37.6
Russia,0.0,96.3,72.3,83.8,62.4,0.7,13.9,0.1,-4.4,0.0,1.9,1.4,1.7,4.8,0.0,10.7,2.6,0.0,12.3,25317.57,7.3,11.8
Rwanda,35.4,73.1,57.2,69.0,54.1,0.7,21.4,11.3,-1.6,0.3,11.4,1.1,0.8,0.3,0.0,0.1,84.9,0.2,8.0,1556.34,0.6,20.1
Saudi Arabia,5.0,97.0,100.0,78.6,63.9,0.6,8.9,10.4,-1.4,0.0,6.2,943.3,1.3,6.6,-0.2,14.9,0.0,0.0,20.4,50240.79,5.4,3.6
Senegal,12.9,74.8,45.1,46.9,56.8,0.7,13.3,12.3,-2.7,0.0,35.1,5.7,1.0,0.3,-0.2,0.4,53.3,0.3,11.0,2226.34,9.1,42.8
Serbia,0.0,99.3,96.6,78.5,66.7,0.7,6.9,-2.0,-0.9,0.1,6.5,2.4,1.3,2.1,0.1,6.3,13.2,0.2,6.5,12792.37,19.2,58.3
Sierra Leone,27.0,57.4,12.6,46.4,43.2,0.6,8.7,9.6,-4.1,0.0,4.9,0.1,1.1,0.3,0.0,0.1,84.9,1.9,4.7,1611.36,3.4,36.9
Singapore,0.0,100.0,100.0,108.5,73.2,0.7,17.7,13.0,8.9,0.0,4.7,41.9,1.5,5.0,0.0,8.7,1.2,0.0,41.6,77213.52,3.1,105.5
Slovak Republic,0.0,100.0,98.8,82.3,67.1,0.7,7.0,0.4,4.5,0.0,43.4,1.3,1.5,3.3,0.1,6.4,7.4,9.0,2.1,26505.57,14.4,51.9
Slovenia,0.0,99.5,99.1,95.1,70.2,0.7,5.4,1.7,5.5,0.0,54.0,2.9,1.5,3.6,0.0,7.5,15.4,6.4,7.0,28434.31,7.2,53.4
South Africa,5.0,91.1,63.5,81.3,51.1,0.7,53.4,6.1,1.5,0.0,14.5,8.2,0.9,2.8,-0.1,8.0,10.5,0.1,4.6,12602.42,24.7,40.9
Spain,0.0,100.0,99.9,103.5,71.8,0.7,14.5,3.4,5.1,0.1,19.9,32.3,1.8,2.7,0.1,5.6,11.8,5.9,6.8,32178.03,20.2,85.4
Sri Lanka,25.3,91.1,91.7,76.3,66.6,0.7,9.6,3.1,-2.3,0.0,25.2,24.5,0.8,0.5,0.0,0.6,56.9,0.8,17.3,9108.50,4.9,79.2
Sudan,0.0,54.9,22.5,46.7,54.6,0.6,10.1,9.8,-9.6,-0.3,2.6,71.2,1.7,0.4,0.1,0.3,69.0,0.0,5.8,4109.59,14.6,94.2
Sweden,0.0,100.0,99.3,92.8,71.4,0.8,6.4,3.3,10.6,0.0,25.9,1.5,3.5,5.4,0.0,4.9,33.4,14.3,18.5,44057.80,8.7,37.2
Switzerland,0.0,100.0,99.9,86.1,72.4,0.8,8.6,4.8,10.3,0.0,17.3,4.0,1.7,3.3,0.1,5.5,19.0,11.4,21.6,55562.55,4.5,46.6
Syria,5.0,89.7,94.6,72.7,61.8,0.6,9.0,5.5,-5.5,0.1,1.0,84.2,0.8,1.0,0.1,2.7,1.1,0.1,-3.4,6374.90,8.4,30.0
Taiwan,6.6,100.0,100.0,95.5,72.3,0.7,9.3,1.2,5.7,0.0,20.3,25.8,2.3,5.0,0.0,10.6,1.2,0.3,0.0,42220.44,4.4,39.3
Tajikistan,36.8,69.7,93.7,69.0,60.6,0.7,7.1,9.2,-6.7,0.0,6.5,51.7,0.7,0.3,0.2,0.3,64.8,0.0,13.1,2376.19,11.6,32.4
Tanzania,34.7,55.2,13.1,56.4,51.1,0.7,10.7,13.5,-2.2,-0.1,50.7,5.4,1.1,0.5,0.0,0.1,89.4,0.2,10.9,2406.73,3.0,29.2
Thailand,8.9,96.4,93.3,77.7,66.1,0.7,11.3,0.8,-2.1,0.0,25.1,13.7,1.0,1.8,-0.2,3.3,19.6,0.2,13.1,14680.37,1.0,41.9
Togo,18.9,59.8,11.5,60.3,51.3,0.6,17.1,11.5,-5.3,-0.4,32.0,1.2,0.8,0.5,-0.2,0.3,76.0,0.1,-12.1,1317.77,7.0,49.0
Trinidad and Tobago,9.9,95.0,91.4,67.3,62.8,0.7,14.2,1.9,0.6,0.0,30.0,8.7,1.0,15.1,-0.1,16.8,0.1,0.0,-6.8,31929.28,5.9,39.0
Tunisia,5.0,95.8,89.0,77.7,66.2,0.6,10.4,4.4,-1.2,0.2,8.7,63.4,1.1,1.0,-0.1,2.2,10.7,1.7,5.9,10694.32,13.0,44.7
Turkey,5.0,98.6,92.9,81.2,65.1,0.6,13.3,5.8,-0.3,0.1,0.2,19.8,1.4,1.5,-0.1,3.6,10.9,1.6,9.3,18192.08,11.9,36.2
Turkmenistan,5.0,60.4,62.7,61.3,59.1,0.7,12.7,5.1,-8.3,0.0,2.8,112.5,1.4,4.5,-0.1,11.3,0.0,0.2,9.2,12683.76,10.9,18.1
