,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Serbia,0.0,99.3,96.7,75.5,65.0,0.7,8.2,-0.8,-2.5,0.0,6.0,2.4,1.2,2.2,-0.3,6.7,11.4,0.0,5.0,10263.89,18.5,40.3
Sierra Leone,39.3,51.3,11.8,46.4,38.1,0.6,11.5,20.2,-4.9,-0.1,3.9,0.1,1.0,0.3,0.0,0.1,86.3,0.0,-14.5,1087.68,3.4,103.2
Singapore,0.0,100.0,99.9,95.1,71.6,0.7,17.7,3.1,9.1,0.0,4.7,41.9,1.5,7.4,-0.6,8.9,0.9,0.0,30.3,59957.84,4.4,85.1
Slovak Republic,0.0,99.9,98.9,76.1,65.8,0.7,6.3,-0.1,4.5,0.0,43.0,1.9,1.7,3.4,0.0,6.9,4.3,4.8,2.1,19726.88,18.1,30.8
Slovenia,0.0,99.6,99.1,93.5,68.1,0.7,7.3,0.4,5.9,0.0,54.0,2.9,1.7,3.6,-0.1,7.7,10.6,4.8,11.9,26038.84,6.3,26.0
South Africa,5.0,88.4,59.8,81.3,46.8,0.7,48.2,5.3,2.5,0.0,11.6,18.1,1.1,2.7,-0.1,7.9,10.7,0.1,2.9,10643.20,24.7,31.4
Spain,0.0,100.0,99.9,94.0,70.1,0.7,10.3,7.1,6.5,0.1,17.3,31.7,2.3,3.2,-0.1,7.6,5.9,3.2,12.0,31335.67,11.2,38.9
Sri Lanka,29.5,84.2,85.4,76.3,66.3,0.7,11.3,3.1,-1.6,-0.1,21.2,24.6,0.8,0.5,0.0,0.7,54.7,0.4,18.0,5727.37,8.4,87.9
Sudan,0.0,59.2,24.3,40.6,52.8,0.6,10.1,11.1,-8.4,-0.1,2.6,71.2,1.9,0.4,0.0,0.2,76.7,0.0,5.8,3117.75,14.8,75.0
Sweden,0.0,100.0,99.3,96.2,70.4,0.8,6.1,1.5,11.0,0.0,24.6,1.5,3.1,5.8,-0.1,5.4,28.7,7.0,19.5,39353.96,6.6,43.0
Switzerland,0.0,100.0,99.9,85.4,71.1,0.7,9.7,2.9,10.8,0.0,14.2,4.6,1.4,3.5,0.0,5.9,16.0,11.0,18.0,48358.21,4.3,51.7
Syria,4.0,88.5,91.1,67.0,62.9,0.6,9.0,8.6,-5.1,0.1,1.0,88.6,0.9,1.0,0.0,2.9,1.8,0.1,-2.4,5389.45,9.8,45.0
Taiwan,5.1,100.0,100.0,94.7,70.3,0.7,9.2,2.2,5.7,0.0,19.6,25.8,2.3,4.8,-0.1,10.2,1.1,0.2,0.0,31333.38,4.1,33.1
Tajikistan,42.3,63.6,91.7,69.6,58.3,0.7,8.3,8.2,-6.8,0.0,6.5,52.2,0.5,0.4,0.0,0.3,62.4,0.0,-7.4,1624.69,12.1,35.3
Tanzania,36.7,54.6,10.6,56.4,45.7,0.7,12.0,11.9,-2.9,-0.1,47.5,5.4,1.1,0.4,-0.1,0.1,89.9,0.1,10.8,1732.10,3.0,32.8
Thailand,13.4,93.8,92.8,70.5,64.7,0.7,13.4,3.9,0.0,0.0,23.7,13.7,1.1,1.5,-0.3,3.0,17.9,0.1,12.7,11068.42,1.5,39.2
Togo,25.3,56.0,11.4,60.5,48.2,0.6,13.3,11.4,-6.0,-0.4,12.5,1.2,0.8,0.4,0.0,0.2,84.3,0.0,-10.0,1159.14,7.1,96.8
Trinidad and Tobago,12.0,94.0,91.0,67.3,61.8,0.7,14.4,1.9,1.4,0.0,30.0,8.4,1.0,10.9,-0.4,13.5,0.2,0.1,-12.2,27321.37,8.3,32.6
Tunisia,5.0,92.4,85.0,76.7,65.6,0.6,11.8,3.9,0.0,0.2,4.7,25.7,1.1,0.9,-0.1,1.9,13.7,1.5,9.0,8570.28,13.9,48.8
Turkey,5.0,95.1,90.1,74.1,63.3,0.6,15.1,5.7,-0.8,0.1,0.2,19.1,1.3,1.2,0.0,3.2,12.0,0.2,10.6,14627.01,10.8,46.5
